python-jinja 2.10-1
python-jsonschema 2.6.0-2
python-jupyter_client 5.1.0-1
python-jupyter_core 4.4.0-1
python-markupsafe 1.0-1
python-mistune 0.8.1-1
python-olefile 0.44-1
python-packaging 16.8-2
python-parso 0.1.1-1
python-pexpect 4.3.0-1
python-pickleshare 0.7.4-3
python-pillow 4.3.0-1
python-pip 9.0.1-3
python-prompt_toolkit 1.0.15-1
python-protobuf3 3.0.2-4
python-ptyprocess 0.5.2-1
python-pyelftools 0.24-2
python-pygments 2.2.0-1
python-pyparsing 2.2.0-1
python-pyqt4 4.12.1-1
python-pyqt5 5.9.2-2
python-pyzmq 16.0.3-1
python-requests 2.18.4-1
python-setuptools 1:38.2.5-1
python-sip 4.19.6-1
python-six 1.11.0-1
python-terminado 0.8.1-1
python-tornado 4.5.2-1
python-traitlets 4.3.2-1
python-urllib3 1.22-1
python-wcwidth 0.1.7-2
python-xdg 0.25-4
python2 2.7.14-1
python2-appdirs 1.4.3-1
python2-cairo 1.15.4-1
python2-gobject2 2.28.7-1
python2-packaging 16.8-2
python2-path 10.1-1
python2-pip 9.0.1-3
python2-protobuf3 3.0.2-4
python2-pyparsing 2.2.0-1
python2-setuptools 1:38.2.5-1
python2-six 1.11.0-1
python2-xdg 0.25-4
qpdf 7.0.0-3
qt3 1:3.3.8b-10
qt4 4.8.7-23
qt5-base 5.10.0-2
qt5-declarative 5.10.0-1
qt5-location 5.10.0-1
qt5-multimedia 5.10.0-1
qt5-sensors 5.10.0-1
qt5-svg 5.10.0-1
qt5-webchannel 5.10.0-1
qt5-webkit 5.212.0alpha2-11
qt5-x11extras 5.10.0-1
qt5-xmlpatterns 5.10.0-1
randrproto 1.5.0-1
ranger 1.8.1-1
raptor 2.0.15-7
rasqal 1:0.9.33-1
readline 7.0.003-1
recode 3.6-10
recordmydesktop 0.3.8.1-7
recordproto 1.14.2-2
redland 1:1.0.17-4
reiserfsprogs 3.6.27-1
renderproto 0.11.1-3
rest 0.8.1-1
rhash 1.3.5-2
rofi-git 1.4.2.r124.gb445c794-1
rsync 3.1.2-8
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
rtorrent 0.9.6-3
ruby 2.4.3-1
ruby-diff-lcs 1.3-1
ruby-paint 2.0.1-1
ruby-rainbow 3.0.0-1
ruby-rspec 3.7.0-1
ruby-rspec-core 3.7.0-1
ruby-rspec-expectations 3.7.0-1
ruby-rspec-mocks 3.7.0-1
ruby-rspec-support 3.7.0-1
ruby-term-ansicolor 1.4.0-2
ruby-tins 1.13.0-2
ruby-trollop 2.1.2-4
run-parts 4.8.3-1
s-nail 14.9.6-1
sbc 1.3-1
schroedinger 1.0.11-3
screen 4.6.2-1
screenkey 0.9-1
scrnsaverproto 1.2.2-2
scrot 0.8.17-2
sdl 1.2.15-9
sdl2 2.0.7-1
sdl_image 1.2.12-4
sed 4.4-1
semver 5.4.1-1
shadow 4.5-4
shared-mime-info 1.9-1
sip 4.19.6-1
sl 5.02-4
slack-desktop 3.0.2-1
sleuthkit 4.4.2-1
smbclient 4.7.4-1
sound-theme-freedesktop 0.8-2
soundtouch 2.0.0-1
sox 14.4.2-2
spandsp 0.0.6-1
speech-dispatcher 0.8.8-1
speex 1.2.0-1
speexdsp 1.2rc3-2
spotify 1.0.69.336-1
sqlite 3.21.0-1
startup-notification 0.12-5
sudo 1.8.21.p2-1
sysfsutils 2.1.0-9
systemd 236.0-2
systemd-sysvcompat 236.0-2
t1lib 5.1.2-6
taglib 1.11.1-1
talloc 2.1.10-1
tar 1.30-1
tcl 8.6.8-1
tcpdump 4.9.2-1
tcptraceroute 1.5beta7-8
tdb 1.3.15-1
tevent 1:0.9.34-1
texinfo 6.5-1
thin-provisioning-tools 0.7.5-1
